 Name                Version   License                                                          
 CTkMessagebox       2.7       CC0 1.0 Universal (CC0 1.0) Public Domain Dedication             
 PyMuPDF             1.27.2.3  Dual Licensed - GNU AFFERO GPL 3.0 or Artifex Commercial License 
 certifi             2026.1.4  Mozilla Public License 2.0 (MPL 2.0)                             
 charset-normalizer  3.4.4     MIT                                                              
 customtkinter       5.2.2     MIT License                                                      
 darkdetect          0.8.0     BSD License                                                      
 et_xmlfile          2.0.0     MIT License                                                      
 idna                3.11      BSD-3-Clause                                                     
 openpyxl            3.1.5     MIT License                                                      
 packaging           26.0      Apache-2.0 OR BSD-2-Clause                                       
 pillow              12.1.0    MIT-CMU                                                          
 pypdf               6.7.0     BSD-3-Clause                                                     
 requests            2.32.5    Apache Software License                                          
 simple-to-pdf       1.0.2     MIT                                                              
 simple-to-pdf       1.0.2     MIT                                                              
 six                 1.17.0    MIT License                                                      
 tendo               0.3.0     Python Software Foundation License                               
 urllib3             2.6.3     MIT                                                              
